ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13,ag-cell-content 14
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,18,0.8 days,HIGH,2.0 days,HIGH,1.4 days,33.3%,0.0%,,6.7 days
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,18,1.4 days,LOW,3.6 days,LOW,1.1 days,100.0%,89.5%,,1.5 days
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,18,1.1 days,HIGH,1.3 days,HIGH,4.6 days,-50.0%,-7.1%,,1.4 days
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,18,LOW,0.0 days,LOW,,-,-,-,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,18,1.1 days,LOW,0.6 days,LOW,0.6 days,57.1%,0.0%,,0.8 days
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,18,2.5 days,HIGH,2.6 days,HIGH,1.5 days,150.0%,-7.1%,,0.8 days
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,18,1.1 days,HIGH,1.4 days,HIGH,3.0 days,16.7%,,-,1.2 days
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,18,LOW,1.1 days,LOW,-15.4%,,-,-,-,0.1 days
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,18,MEDIUM,1.2 days,MEDIUM,9.1%,,-,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,18,0.1 days,LOW,1.6 days,LOW,0.6 days,0.0%,-23.8%,,3.0 days
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,18,0.0 days,MEDIUM,6.5 days,MEDIUM,-100.0%,91.2%,,-,8.3 days
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,17,1.3 days,LOW,2.0 days,LOW,1.6 days,62.5%,-28.6%,,2.8 days
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,17,0.8 days,HIGH,1.4 days,HIGH,1.4 days,33.3%,-12.5%,,0.6 days
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,17,0.7 days,HIGH,1.6 days,HIGH,1.7 days,75.0%,-15.8%,,2.1 days
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,17,1.1 days,LOW,1.6 days,LOW,1.2 days,-42.1%,14.3%,,1.0 days
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,17,0.7 days,LOW,1.3 days,LOW,-12.5%,-31.6%,,-,0.8 days
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,17,0.2 days,MEDIUM,1.1 days,MEDIUM,-92.3%,-21.4%,,-,-
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,17,MEDIUM,3.7 days,MEDIUM,-15.9%,,-,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,17,3.7 days,MEDIUM,2.0 days,MEDIUM,3.1 days,428.6%,42.9%,,1.4 days
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,17,1.0 days,HIGH,0.7 days,HIGH,0.9 days,-23.1%,16.7%,,1.5 days
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,17,1.8 days,HIGH,1.4 days,HIGH,2.0 days,-21.7%,-22.2%,,1.0 days
